Time,Channel A,Channel B,Channel C,Channel D,Channel D8,Channel D9,Channel D10,Channel D11,Channel D12,Channel D13,Channel D14,Channel D15,B-C
(ms),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V)

-129.59999325,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-129.49999325,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-129.39999325,0.00000000,4.99569368,5.07351112,3.42919540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-129.29999326,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-129.19999326,0.07935531,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-129.09999326,0.07935531,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.99999326,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.89999327,0.07935531,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00015383
-128.79999327,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.69999327,0.00000000,5.07504940,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.59999327,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.49999328,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.39999328,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.29999328,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.19999328,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-128.09999329,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-127.99999329,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
